"use","nlnet project","nlnet page","homepage listed on nlnet","GROUP repository url","repository url","packaging status (independent)","packaging status (nixpkgs)","subsystems","documentation","build system","SoN members","triage status","nixpkgs url","nixpkgs attr","primary contact","irc channel","matrix channel","entry reviewed","unofficial triage thread","issue tracker","forum","shortstring (""what am i looking at?"")","Note"
"y","Sylk chat","https://nlnet.nl/project/SylkChat/","http://sylkserver.com",,"https://github.com/AGProjects/sylk-mobile",,,,,,,,,,,,,,,,,,
"y","Sylk Client","https://nlnet.nl/project/SylkClient/","https://sylkserver.com",,"http://devel.ag-projects.com/repositories/sylkserver",,,,,,,,,,,,,,,,,,
"y","Sylk Mobile","https://nlnet.nl/project/SylkMobile/","http://sylkserver.com",,"https://github.com/AGProjects/sylk-mobile",,,,,,,,,,,,,,,,,,
"n","Timing-Driven Place-and-Route (TDPR) ","https://nlnet.nl/project/TDPR/",,,,,,,,,,,,,,,,,,,,,
"n","RETETRA","https://nlnet.nl/project/TETRA-crypto/",,,,,,,,,,,,,,,,,,,,,
"y","TLS-KDH mbed","https://nlnet.nl/project/TLS-KDH-mbed/","http://tls-kdh.arpa2.net/",,"https://github.com/arpa2/draft-vanrein-tls-kdh",,,,,,,,,,,,,,,,,,
"y","Padding Machines for Tor","https://nlnet.nl/project/TorPaddingMachines/",,,"https://github.com/pylls/padding-machines-for-tor",,,,,,,,,,,,,,,,,,
"y","Build Transparency (Trustix)","https://nlnet.nl/project/Trustix/","https://build-transparency.org",,"https://github.com/tweag/trustix",,,,,,,,,,,,,,,,,,
"n","ULX3M","https://nlnet.nl/project/ULX3M/","https://radiona.org",,,,,,,,,,,,,,,,,,,,
"y","Universal DID Resolver and Registrar","https://nlnet.nl/project/UniversalDID/","https://uniresolver.io",,"https://github.com/decentralized-identity/universal-resolver/",,,,,,,,,,,,,,,,,,
"y","ValOS Cryptographic Content Security project","https://nlnet.nl/project/ValOS-crypto/","https://valospace.org/",,"https://github.com/valaatech/kernel",,,,,,,,,,,,,,,,,,
"y","Noise Explorer-VerifPal","https://nlnet.nl/project/VerifPal/","https://noiseexplorer.com",,"https://source.symbolic.software/verifpal/verifpal",,,,,,,,,,,,,,,,,,
"y","Verifpal","https://nlnet.nl/project/VerifPal-Proven/","https://verifpal.com",,"https://source.symbolic.software/verifpal/verifpal",,,,,,,,,,,,,,,,,,"for some reason the nlnet page links to verifpal instead of https://source.symbolic.software/noiseexplorer/noiseexplorer"
