"use","nlnet project","nlnet page","homepage listed on nlnet","GROUP repository url","repository url","packaging status (independent)","packaging status (nixpkgs)","subsystems","documentation","build system","SoN members","triage status","nixpkgs url","nixpkgs attr","primary contact","irc channel","matrix channel","entry reviewed","unofficial triage thread","issue tracker","forum","shortstring (""what am i looking at?"")","Note"
"y","variation graph (vgteam)","https://nlnet.nl/project/VariationGraph/","https://github.com/vgteam/vg",,"https://github.com/vgteam/vg",,,,,,,,,,,,,,,,,,
"y","Web Annotation","https://nlnet.nl/project/WebAnnotation/","https://annotator.apache.org",,"https://github.com/apache/incubator-annotator",,,,,,,,,,,,,,,,,,
"y","WebXray Discovery","https://nlnet.nl/project/WebXRay/","https://webXray.org",,"https://github.com/timlib/webXray",,,,,,,,,,,,,,,,,,
"y","XWiki","https://nlnet.nl/project/WikiActivityPub/","http://www.xwiki.org",,"https://github.com/xwiki/xwiki-platform",,,,,,,,,,,,,,,,,,
"n","WikiRate Insights","https://nlnet.nl/project/WikirateInsights/","https://wikirate.org",,,,,,,,,,,,,,,,,,,,
"y","WordPress ActivityPub","https://nlnet.nl/project/Wordpress-ActivityPub/","https://wordpress.org/plugins/activitypub/",,"https://github.com/pfefferle/wordpress-activitypub",,,,,,,,,,,,,,,,,,
"y","XWiki ActivityPub","https://nlnet.nl/project/XWikiActivityPub/","http://www.xwiki.org/xwiki/bin/view/Main/WebHome","https://github.com/xwiki",,,,,,,,,,,,,,,,,,,
"y","YaCy Grid SaaS","https://nlnet.nl/project/YacyGrid/","https://yacy.net","https://github.com/yacy",,,,,,,,,,,,,,,,,,,
"y","ipfs-search.com","https://nlnet.nl/project/dweb-search/","https://github.com/ipfs-search/dweb-search-frontend",,"https://github.com/ipfs-search/dweb-search-frontend",,,,,,,,,,,,,,,,,,
"y","elRepo.io - Resilient, human-centered, distributed content sharing and discovery.","https://nlnet.nl/project/elrepo_io/","https://elrepo.io/",,"https://gitlab.com/elRepo.io/elRepo.io-android",,,,,,,,,,,,,,,,,,
"y","fediverse.space","https://nlnet.nl/project/fediverse_space/","https://fediverse.space",,"https://gitlab.com/fediverse.space/fediverse.space",,,,,,,,,,,,,,,,,,
"n","fwupd","https://nlnet.nl/project/fwdup-BSD/","https://fwupd.org/",,,,,,,,,,,,,,,,,,,,
"n","Handling Data from IPv6 Scanning","https://nlnet.nl/project/ipv6scanning/","https://scanning.sba-research.org/",,,,,,,,,,,,,,,,,,,,
"y","Minedive","https://nlnet.nl/project/minedive/","https://github.com/ckin-it/minedive/wiki",,"https://github.com/ckin-it/minedive",,,,,,,,,,,,,,,,,,
"y","Software vulnerability discovery","https://nlnet.nl/project/nixpkgs-update/","https://github.com/ryantm/nixpkgs-update",,"https://github.com/ryantm/nixpkgs-update",,,,,,,,,,,,,,,,,,
"n","openEngiadina","https://nlnet.nl/project/openEngiadina/","https://openengiadina.net","https://openengiadina.gitlab.io/",,,,,,,,,,,,,,,,,,,
"n","Privacy Preserving Disease Tracking","https://nlnet.nl/project/ppdt/","https://github.com/degregat/ppdt",,"https://github.com/degregat/ppdt",,,,,,,,,,,,,,,,,,"“This work has been superseded by the TCN protocol.”"
"y","Search and Displace","https://nlnet.nl/project/searchanddisplace/","https://searchanddisplace.com",,"https://git.law/newroco/searchanddisplace",,,,,,,,,,,,,,,,,,
"y","Free Software Vulnerability Database","https://nlnet.nl/project/vulnerabilitydatabase/","https://www.aboutcode.org/projects/vulnerablecode.html",,"https://github.com/nexB/vulnerablecode",,,,,,,,,,,,,,,,,,
"y","xqerl","https://nlnet.nl/project/xqerl/","https://github.com/zadean/xqerl",,"https://github.com/zadean/xqerl/",,,,,,,,,,,,,,,,,,
